"aid","Latitude","Longitude","Habitat_WWF","class_description","metric","buff_dist_km","buff_metric","value_median","sp_name","sp_ab","sp_pa"
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppJ",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppK",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppA",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppB",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppC",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppD",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppE",5,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppF",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppG",3,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppH",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppI",2,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppJ",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",1,"cpland_1",32.4607329842932,"sppK",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppA",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppB",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppC",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppD",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppE",5,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppF",0,0
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppG",3,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppH",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppI",2,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppJ",1,1
10,-0.05424,-51.23889,"Cerrado","Forest","cpland",10,"cpland_10",43.569347972216,"sppK",1,1
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppA",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppB",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppC",0,0
11,-0.07997,-51.26369,"Cerrado","Forest","cpland",1,"cpland_1",41.848299912816,"sppD",0,0
