"aid","Latitude","Longitude","Habitat_WWF","sp","int_pres"
26,0.71028,-51.37211,"Cerrado","sppK",2
27,0.770276,-51.23094,"Cerrado","sppA",0
27,0.770276,-51.23094,"Cerrado","sppB",0
27,0.770276,-51.23094,"Cerrado","sppC",2
27,0.770276,-51.23094,"Cerrado","sppD",0
27,0.770276,-51.23094,"Cerrado","sppE",0
27,0.770276,-51.23094,"Cerrado","sppF",0
27,0.770276,-51.23094,"Cerrado","sppG",0
27,0.770276,-51.23094,"Cerrado","sppH",2
27,0.770276,-51.23094,"Cerrado","sppI",0
27,0.770276,-51.23094,"Cerrado","sppJ",1
27,0.770276,-51.23094,"Cerrado","sppK",1
28,1.01793,-51.07335,"Cerrado","sppA",0
28,1.01793,-51.07335,"Cerrado","sppB",1
28,1.01793,-51.07335,"Cerrado","sppC",2
28,1.01793,-51.07335,"Cerrado","sppD",2
28,1.01793,-51.07335,"Cerrado","sppE",3
28,1.01793,-51.07335,"Cerrado","sppF",0
28,1.01793,-51.07335,"Cerrado","sppG",0
28,1.01793,-51.07335,"Cerrado","sppH",1
28,1.01793,-51.07335,"Cerrado","sppI",3
28,1.01793,-51.07335,"Cerrado","sppJ",1
28,1.01793,-51.07335,"Cerrado","sppK",0
29,0.80612,-51.20734,"Cerrado","sppA",0
29,0.80612,-51.20734,"Cerrado","sppB",1
29,0.80612,-51.20734,"Cerrado","sppC",1
29,0.80612,-51.20734,"Cerrado","sppD",0
29,0.80612,-51.20734,"Cerrado","sppE",1
29,0.80612,-51.20734,"Cerrado","sppF",0
29,0.80612,-51.20734,"Cerrado","sppG",0
29,0.80612,-51.20734,"Cerrado","sppH",1
29,0.80612,-51.20734,"Cerrado","sppI",2
29,0.80612,-51.20734,"Cerrado","sppJ",1
29,0.80612,-51.20734,"Cerrado","sppK",1
30,0.77526,-51.32966,"Floresta","sppA",0
30,0.77526,-51.32966,"Floresta","sppB",0
30,0.77526,-51.32966,"Floresta","sppC",2
30,0.77526,-51.32966,"Floresta","sppD",4
30,0.77526,-51.32966,"Floresta","sppE",1
30,0.77526,-51.32966,"Floresta","sppF",0
30,0.77526,-51.32966,"Floresta","sppG",2
30,0.77526,-51.32966,"Floresta","sppH",2
30,0.77526,-51.32966,"Floresta","sppI",1
30,0.77526,-51.32966,"Floresta","sppJ",0
30,0.77526,-51.32966,"Floresta","sppK",2
31,0.64582,-51.82376,"Floresta","sppA",0
31,0.64582,-51.82376,"Floresta","sppB",0
31,0.64582,-51.82376,"Floresta","sppC",0
31,0.64582,-51.82376,"Floresta","sppD",0
31,0.64582,-51.82376,"Floresta","sppE",1
31,0.64582,-51.82376,"Floresta","sppF",3
31,0.64582,-51.82376,"Floresta","sppG",1
31,0.64582,-51.82376,"Floresta","sppH",6
31,0.64582,-51.82376,"Floresta","sppI",2
31,0.64582,-51.82376,"Floresta","sppJ",0
31,0.64582,-51.82376,"Floresta","sppK",1
32,0.66096,-51.85627,"Floresta","sppA",0
32,0.66096,-51.85627,"Floresta","sppB",0
32,0.66096,-51.85627,"Floresta","sppC",0
32,0.66096,-51.85627,"Floresta","sppD",0
32,0.66096,-51.85627,"Floresta","sppE",1
32,0.66096,-51.85627,"Floresta","sppF",2
32,0.66096,-51.85627,"Floresta","sppG",3
32,0.66096,-51.85627,"Floresta","sppH",3
32,0.66096,-51.85627,"Floresta","sppI",1
32,0.66096,-51.85627,"Floresta","sppJ",0
32,0.66096,-51.85627,"Floresta","sppK",1
33,0.68606,-51.8884,"Floresta","sppA",0
33,0.68606,-51.8884,"Floresta","sppB",0
33,0.68606,-51.8884,"Floresta","sppC",0
33,0.68606,-51.8884,"Floresta","sppD",0
33,0.68606,-51.8884,"Floresta","sppE",3
33,0.68606,-51.8884,"Floresta","sppF",3
33,0.68606,-51.8884,"Floresta","sppG",2
33,0.68606,-51.8884,"Floresta","sppH",3
33,0.68606,-51.8884,"Floresta","sppI",0
33,0.68606,-51.8884,"Floresta","sppJ",1
33,0.68606,-51.8884,"Floresta","sppK",3
34,0.59311,-51.34351,"Cerrado","sppA",0
34,0.59311,-51.34351,"Cerrado","sppB",0
34,0.59311,-51.34351,"Cerrado","sppC",1
34,0.59311,-51.34351,"Cerrado","sppD",0
